資料年月,縣市,燃料別,車種類別,數量
201804,臺北市,汽油/LPG,機車輕型,0
201804,臺北市,汽油/電能,大客車,0
201804,臺北市,汽油/電能,大貨車,0
201804,臺北市,汽油/電能,小客車,29
201804,臺北市,汽油/電能,小貨車,0
201804,臺北市,汽油/電能,特種車,0
201804,臺北市,汽油/電能,機車重型,0
201804,臺北市,汽油/電能,機車輕型,0
201804,臺北市,柴油,大客車,33
201804,臺北市,柴油,大貨車,44
201804,臺北市,柴油,小客車,393
201804,臺北市,柴油,小貨車,239
201804,臺北市,柴油,特種車,6
201804,臺北市,柴油,機車重型,0
201804,臺北市,柴油,機車輕型,0
201804,臺北市,柴油(油電),大客車,0
201804,臺北市,柴油(油電),大貨車,0
201804,臺北市,柴油(油電),小客車,0
201804,臺北市,柴油(油電),小貨車,0
201804,臺北市,柴油(油電),特種車,0
201804,臺北市,柴油(油電),機車重型,0
201804,臺北市,柴油(油電),機車輕型,0
201804,臺北市,柴油/電能,大客車,0
201804,臺北市,柴油/電能,大貨車,0
201804,臺北市,柴油/電能,小客車,0
201804,臺北市,柴油/電能,小貨車,0
201804,臺北市,柴油/電能,特種車,0
201804,臺北市,柴油/電能,機車重型,0
201804,臺北市,柴油/電能,機車輕型,0
201804,臺北市,液化石油氣,大客車,0
201804,臺北市,液化石油氣,大貨車,0
201804,臺北市,液化石油氣,小客車,0
201804,臺北市,液化石油氣,小貨車,0
201804,臺北市,液化石油氣,特種車,0
201804,臺北市,液化石油氣,機車重型,0
201804,臺北市,液化石油氣,機車輕型,0
201804,臺北市,電能,大客車,0
201804,臺北市,電能,大貨車,0
201804,臺北市,電能,小客車,9
201804,臺北市,電能,小貨車,0
201804,臺北市,電能,特種車,0
201804,臺北市,電能,機車重型,214
201804,臺北市,電能,機車輕型,19
201804,臺北市,電能(增程),大客車,0
201804,臺北市,電能(增程),大貨車,0
201804,臺北市,電能(增程),小客車,0
201804,臺北市,電能(增程),小貨車,0
201804,臺北市,電能(增程),特種車,0
201804,臺北市,電能(增程),機車重型,0
201804,臺北市,電能(增程),機車輕型,0
201804,臺北市,電能/汽油,大客車,0
201804,臺北市,電能/汽油,大貨車,0
201804,臺北市,電能/汽油,小客車,3
201804,臺北市,電能/汽油,小貨車,0
201804,臺北市,電能/汽油,特種車,0
201804,臺北市,電能/汽油,機車重型,0
201804,臺北市,電能/汽油,機車輕型,0
201804,臺北市,電能/柴油,大客車,0
201804,臺北市,電能/柴油,大貨車,0
201804,臺北市,電能/柴油,小客車,0
201804,臺北市,電能/柴油,小貨車,0
201804,臺北市,電能/柴油,特種車,0
201804,臺北市,電能/柴油,機車重型,0
201804,臺北市,電能/柴油,機車輕型,0
201804,臺北市,總計,大客車,33
201804,臺北市,總計,大貨車,44
201804,臺北市,總計,小客車,5354
201804,臺北市,總計,小貨車,528
201804,臺北市,總計,特種車,12
201804,臺北市,總計,機車重型,3886
201804,臺北市,總計,機車輕型,20
201805,臺北市,汽油,大客車,0
201805,臺北市,汽油,大貨車,0
201805,臺北市,汽油,小客車,5039
201805,臺北市,汽油,小貨車,244
201805,臺北市,汽油,特種車,9
201805,臺北市,汽油,機車重型,4068
201805,臺北市,汽油,機車輕型,2
201805,臺北市,汽油(油電),大客車,0
201805,臺北市,汽油(油電),大貨車,0
201805,臺北市,汽油(油電),小客車,136
201805,臺北市,汽油(油電),小貨車,0
201805,臺北市,汽油(油電),特種車,0
201805,臺北市,汽油(油電),機車重型,0
201805,臺北市,汽油(油電),機車輕型,0
201805,臺北市,汽油/LPG,大客車,0
201805,臺北市,汽油/LPG,大貨車,0
201805,臺北市,汽油/LPG,小客車,0
