資料年月,縣市,車種類別,數量
201203,臺北市,普通輕型機車,133517
201203,臺北市,普通駕照,1417238
201203,臺北市,機車,1200621
201203,臺北市,職業駕照,49287
201204,臺北市,大型重型機車,20205
201204,臺北市,小型輕型機車,1
201204,臺北市,汽車,1468385
201204,臺北市,普通重型機車,1047874
201204,臺北市,普通輕型機車,133223
201204,臺北市,普通駕照,1419164
201204,臺北市,機車,1201303
201204,臺北市,職業駕照,49221
201205,臺北市,大型重型機車,20397
201205,臺北市,小型輕型機車,1
201205,臺北市,汽車,1469368
201205,臺北市,普通重型機車,1048553
201205,臺北市,普通輕型機車,133072
201205,臺北市,普通駕照,1420250
201205,臺北市,機車,1202023
201205,臺北市,職業駕照,49118
201206,臺北市,大型重型機車,20594
201206,臺北市,小型輕型機車,1
201206,臺北市,汽車,1471058
201206,臺北市,普通重型機車,1049920
201206,臺北市,普通輕型機車,132926
201206,臺北市,普通駕照,1421960
201206,臺北市,機車,1203441
201206,臺北市,職業駕照,49098
201207,臺北市,大型重型機車,20922
201207,臺北市,小型輕型機車,1
201207,臺北市,汽車,1473777
201207,臺北市,普通重型機車,1052586
201207,臺北市,普通輕型機車,132732
201207,臺北市,普通駕照,1424718
201207,臺北市,機車,1206241
201207,臺北市,職業駕照,49059
201208,臺北市,大型重型機車,21330
201208,臺北市,小型輕型機車,1
201208,臺北市,汽車,1477551
201208,臺北市,普通重型機車,1055027
201208,臺北市,普通輕型機車,132526
201208,臺北市,普通駕照,1428499
201208,臺北市,機車,1208884
201208,臺北市,職業駕照,49052
201209,臺北市,大型重型機車,21914
201209,臺北市,小型輕型機車,1
201209,臺北市,汽車,1481392
201209,臺北市,普通重型機車,1057244
201209,臺北市,普通輕型機車,132104
201209,臺北市,普通駕照,1432356
201209,臺北市,機車,1211263
201209,臺北市,職業駕照,49036
201210,臺北市,大型重型機車,22595
201210,臺北市,小型輕型機車,1
201210,臺北市,汽車,1482661
201210,臺北市,普通重型機車,1057837
201210,臺北市,普通輕型機車,131745
201210,臺北市,普通駕照,1433677
201210,臺北市,機車,1212178
201210,臺北市,職業駕照,48984
201211,臺北市,大型重型機車,23226
201211,臺北市,小型輕型機車,1
201211,臺北市,汽車,1483656
201211,臺北市,普通重型機車,1058140
201211,臺北市,普通輕型機車,131578
201211,臺北市,普通駕照,1434770
201211,臺北市,機車,1212945
201211,臺北市,職業駕照,48886
201212,臺北市,大型重型機車,23754
201212,臺北市,小型輕型機車,1
201212,臺北市,汽車,1484349
201212,臺北市,普通重型機車,1058107
201212,臺北市,普通輕型機車,131433
201212,臺北市,普通駕照,1435545
201212,臺北市,機車,1213295
201212,臺北市,職業駕照,48804
201301,臺北市,大型重型機車,24551
201301,臺北市,小型輕型機車,1
201301,臺北市,汽車,1485886
201301,臺北市,普通重型機車,1059895
201301,臺北市,普通輕型機車,131090
201301,臺北市,普通駕照,1437230
201301,臺北市,機車,1215537
201301,臺北市,職業駕照,48656
201302,臺北市,大型重型機車,24765
201302,臺北市,小型輕型機車,2
201302,臺北市,汽車,1486387
201302,臺北市,普通重型機車,1060125
201302,臺北市,普通輕型機車,131004
201302,臺北市,普通駕照,1437771
201302,臺北市,機車,1215896
201302,臺北市,職業駕照,48616
201303,臺北市,大型重型機車,25590
201303,臺北市,小型輕型機車,2
201303,臺北市,汽車,1488156
201303,臺北市,普通重型機車,1061141
201303,臺北市,普通輕型機車,130622
201303,臺北市,普通駕照,1439618
201303,臺北市,機車,1217355
201303,臺北市,職業駕照,48538
201304,臺北市,大型重型機車,25778
201304,臺北市,小型輕型機車,2
201304,臺北市,汽車,1488933
201304,臺北市,普通重型機車,1061213
201304,臺北市,普通輕型機車,130535
201304,臺北市,普通駕照,1440373
201304,臺北市,機車,1217528
201304,臺北市,職業駕照,48560
201305,臺北市,大型重型機車,26290
201305,臺北市,小型輕型機車,2
201305,臺北市,汽車,1490842
201305,臺北市,普通重型機車,1061740
201305,臺北市,普通輕型機車,130294
201305,臺北市,普通駕照,1442317
201305,臺北市,機車,1218326
201305,臺北市,職業駕照,48525
201306,臺北市,大型重型機車,27088
201306,臺北市,小型輕型機車,2
201306,臺北市,汽車,1493539
201306,臺北市,普通重型機車,1063800
201306,臺北市,普通輕型機車,129912
201306,臺北市,普通駕照,1445105
201306,臺北市,機車,1220802
201306,臺北市,職業駕照,48434
201307,臺北市,大型重型機車,27761
201307,臺北市,小型輕型機車,2
201307,臺北市,汽車,1496100
201307,臺北市,普通重型機車,1065350
201307,臺北市,普通輕型機車,129577
201307,臺北市,普通駕照,1447763
201307,臺北市,機車,1222690
201307,臺北市,職業駕照,48337
201308,臺北市,大型重型機車,28166
201308,臺北市,小型輕型機車,2
201308,臺北市,汽車,1498984
201308,臺北市,普通重型機車,1066922
201308,臺北市,普通輕型機車,129142
201308,臺北市,普通駕照,1450686
201308,臺北市,機車,1224232
201308,臺北市,職業駕照,48298
201309,臺北市,大型重型機車,28394
201309,臺北市,小型輕型機車,2
201309,臺北市,汽車,1499826
201309,臺北市,普通重型機車,1066750
201309,臺北市,普通輕型機車,128983
201309,臺北市,普通駕照,1451567
201309,臺北市,機車,1224129
201309,臺北市,職業駕照,48259
201310,臺北市,大型重型機車,28939
201310,臺北市,小型輕型機車,2
201310,臺北市,汽車,1500788
201310,臺北市,普通重型機車,1066771
201310,臺北市,普通輕型機車,128679
201310,臺北市,普通駕照,1452582
201310,臺北市,機車,1224391
201310,臺北市,職業駕照,48206
201311,臺北市,大型重型機車,29469
201311,臺北市,小型輕型機車,1
201311,臺北市,汽車,1501628
201311,臺北市,普通重型機車,1066924
201311,臺北市,普通輕型機車,128419
201311,臺北市,普通駕照,1453550
201311,臺北市,機車,1224813
201311,臺北市,職業駕照,48078
201312,臺北市,大型重型機車,30036
201312,臺北市,小型輕型機車,1
201312,臺北市,汽車,1501652
201312,臺北市,普通重型機車,1066142
201312,臺北市,普通輕型機車,128069
201312,臺北市,普通駕照,1453715
201312,臺北市,機車,1224248
201312,臺北市,職業駕照,47937
201401,臺北市,大型重型機車,30375
201401,臺北市,小型輕型機車,1
201401,臺北市,汽車,1502283
201401,臺北市,普通重型機車,1066567
201401,臺北市,普通輕型機車,127902
201401,臺北市,普通駕照,1454425
201401,臺北市,機車,1224845
201401,臺北市,職業駕照,47858
201402,臺北市,大型重型機車,30687
201402,臺北市,小型輕型機車,0
201402,臺北市,汽車,1503468
201402,臺北市,普通重型機車,1067389
201402,臺北市,普通輕型機車,127704
201402,臺北市,普通駕照,1455664
201402,臺北市,機車,1225780
201402,臺北市,職業駕照,47804
201403,臺北市,大型重型機車,31112
201403,臺北市,小型輕型機車,0
201403,臺北市,汽車,1504648
201403,臺北市,普通重型機車,1067975
201403,臺北市,普通輕型機車,127430
201403,臺北市,普通駕照,1456851
201403,臺北市,機車,1226517
201403,臺北市,職業駕照,47797
201404,臺北市,大型重型機車,31422
201404,臺北市,小型輕型機車,0
201404,臺北市,汽車,1506167
201404,臺北市,普通重型機車,1068561
201404,臺北市,普通輕型機車,127133
201404,臺北市,普通駕照,1458366
201404,臺北市,機車,1227116
201404,臺北市,職業駕照,47801
201405,臺北市,大型重型機車,31896
201405,臺北市,小型輕型機車,0
201405,臺北市,汽車,1508060
201405,臺北市,普通重型機車,1069148
201405,臺北市,普通輕型機車,126866
201405,臺北市,普通駕照,1460293
201405,臺北市,機車,1227910
201405,臺北市,職業駕照,47767
201406,臺北市,大型重型機車,32272
201406,臺北市,小型輕型機車,0
201406,臺北市,汽車,1509849
201406,臺北市,普通重型機車,1070664
201406,臺北市,普通輕型機車,126657
201406,臺北市,普通駕照,1462112
201406,臺北市,機車,1229593
201406,臺北市,職業駕照,47737
201407,臺北市,大型重型機車,32747
201407,臺北市,小型輕型機車,1
201407,臺北市,汽車,1511913
201407,臺北市,普通重型機車,1072372
201407,臺北市,普通輕型機車,126446
201407,臺北市,普通駕照,1464247
201407,臺北市,機車,1231566
201407,臺北市,職業駕照,47666
201408,臺北市,大型重型機車,33219
201408,臺北市,小型輕型機車,1
201408,臺北市,汽車,1515505
201408,臺北市,普通重型機車,1075249
201408,臺北市,普通輕型機車,126236
201408,臺北市,普通駕照,1467799
201408,臺北市,機車,1234705
201408,臺北市,職業駕照,47706
201409,臺北市,大型重型機車,33787
201409,臺北市,小型輕型機車,1
201409,臺北市,汽車,1519036
201409,臺北市,普通重型機車,1077324
201409,臺北市,普通輕型機車,125973
201409,臺北市,普通駕照,1471277
201409,臺北市,機車,1237085
201409,臺北市,職業駕照,47759
201410,臺北市,大型重型機車,34332
201410,臺北市,小型輕型機車,0
201410,臺北市,汽車,1521578
201410,臺北市,普通重型機車,1078869
201410,臺北市,普通輕型機車,125662
201410,臺北市,普通駕照,1473780
201410,臺北市,機車,1238863
201410,臺北市,職業駕照,47798
201411,臺北市,大型重型機車,34847
201411,臺北市,小型輕型機車,0
201411,臺北市,汽車,1523485
201411,臺北市,普通重型機車,1080560
201411,臺北市,普通輕型機車,125302
201411,臺北市,普通駕照,1475737
201411,臺北市,機車,1240709
201411,臺北市,職業駕照,47748
201412,臺北市,大型重型機車,35469
201412,臺北市,小型輕型機車,0
201412,臺北市,汽車,1525128
201412,臺北市,普通重型機車,1083094
201412,臺北市,普通輕型機車,124945
201412,臺北市,普通駕照,1477394
201412,臺北市,機車,1243508
201412,臺北市,職業駕照,47734
201501,臺北市,大型重型機車,35835
201501,臺北市,小型輕型機車,0
201501,臺北市,汽車,1529900
201501,臺北市,普通重型機車,1085894
201501,臺北市,普通輕型機車,125179
201501,臺北市,普通駕照,1482093
201501,臺北市,機車,1246908
201501,臺北市,職業駕照,47807
201502,臺北市,大型重型機車,36043
201502,臺北市,小型輕型機車,0
201502,臺北市,汽車,1524597
201502,臺北市,普通重型機車,1082374
201502,臺北市,普通輕型機車,124386
201502,臺北市,普通駕照,1477110
201502,臺北市,機車,1242803
201502,臺北市,職業駕照,47487
201503,臺北市,大型重型機車,36442
